"company","address","businessType","numberAffected","totalEmployees","union","noticeDate","closingDate","reasonDislocation","reason","url","location","longitude","latitude"
"AllianceBernstein L.P. (Phase 4)","1345 Sixth Avenue, New York, NY 10105","Providing investment management and research services","30","1,499","The employees are not represented by a union.","4/5/2019","-----","Relocation of Corporate Headquarters to Nashville, Tennessee","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6752","1345 6th Ave, New York, NY 10105, USA",40.7629384,-73.978958
"Banfi Products Corporation","1111 Cedar Swamp Road, Glen Head, NY 11545","Wine and Distilled Alcoholic Beverage Merchant Wholesalers","1","96","The employee is not represented by a union.","3/29/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6753","1111 Cedar Swamp Rd, Glen Head, NY 11545, USA",40.8273175,-73.5952346
"Banfi Products Corporation","1111 Cedar Swamp Road, Glen Head, NY 11545","Wine and Distilled Alcoholic Beverage Merchant Wholesalers","1","96","The employee is not represented by a union.","4/5/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6754","1111 Cedar Swamp Rd, Glen Head, NY 11545, USA",40.8273175,-73.5952346
"ShipBob. Inc.","87 34th Street, Brooklyn, NY 11230","Affordable fulfillment center with many fulfillment warehouses","54","54","The employees are not represented by a union.","3/21/2019","5/31/2019","Relocating to a new facility in Pennsylvania","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6750","87 34th St, Brooklyn, NY 11232, USA",40.6572197,-74.0059245
"JCPenney Store #2756","9 Smith Haven Mall, Lake Grove, NY 11755","Retail","98","98","The employees are not represented by a union.","4/3/2019","7/6/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6748","9 Smith Haven Mall, Lake Grove, NY 11755, USA",40.8630129,-73.1294042
"Sodexo, Inc. (at Mohawk Valley Community College)","1101 Sherman Dr., Utica, NY 13501-5308","Food Service Contractor","49","49","The employees are not represented by a union.","4/1/2019","6/30/2019","Loss of contract","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6749","1101 Sherman Dr, Utica, NY 13501, USA",43.077007,-75.218217
"Irving Plaza (venue operated by Live Nation Worldwide, Inc.)","17 Irving Place, New York, NY 10003","Ballroom-style music venue","63","63","The employees are not represented by a union.","4/2/2019","7/8/2019","Renovations","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6747","17 Irving Pl, New York, NY 10003, USA",40.7349063,-73.9883801
"Aramark Educational Services, LLC (at New York University)","60 Washington Square South, New York, NY 10012","Provides food service, facilities and uniform services to hospitals, universities, school districts, stadiums and other businesses around the world","57","461 (total at all site locations)","The employees are not represented by a union.","3/29/2019","6/30/2019","Loss of contract","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6744","60 Washington Square S, New York, NY 10012, USA",40.7297809,-73.9978657
"Sodexo, Inc. (at Ithaca College)","1101 Terrace Dining Hall, Ithaca, NY 14850","Food Service Contractors","110","110","The employees are not represented by a union.","3/29/2019","6/7/2019","Loss of contract","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6745","Terrace Dining Hall, Ithaca, NY 14850, USA",42.4198688,-76.4962724
"Web.com Group, Inc.","330 W. 34th Street, 16th Floor, New York, NY 10001","Provides a range of Internet services to small businesses","9","13","The employees are not represented by a union.","3/29/2019","-----","Ecomonic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6740","330 W 34th St 16th floor, New York, NY 10001, USA",40.7526143,-73.9953955
"Tiegerman Middle School","70-24 47th Avenue, Woodside, NY 11377","School","35","35","The employees are not represented by a union.","4/1/2019","7/1/2019","Relocating to Glen Cove, New York in July 2019","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6741","70-24 47th Ave, Woodside, NY 11377, USA",40.7388249,-73.8937175
"Barclays Services Corp.","(Chief Operating Office and Functions teams), 745 Seventh Avenue","","","","The employees are not represented by a union.","3/28/2019","","","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6742","745 7th Ave, New York, NY 10019, USA",40.7604859,-73.9831465
"PVH - Tommy Hilfiger","681 Fifth Avenue, New York, NY 10022","Retail","76","78 (total employees at both sites)","The employees are not represented by a union.","3/26/2019","3/25/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6739","681 5th Ave, New York, NY 10022, USA",40.7606908,-73.9753417
"POP Displays USA, LLC","555 Tuckahoe Road, Yonkers, NY 10710","Provides manufactured point of purchase displays for retail and consumer goods companies.","388","388","Amalgamated Production & Service Employees Union Local 22","3/25/2019","7/13/2019","Relocating business to East Point, Georgia and Rye Brook, NY","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6738","555 Tuckahoe Rd, Yonkers, NY 10710, USA",40.9540216,-73.8498705
"Ulano Corporation","110 Third Avenue, Brooklyn, NY 11217","Produces photo-sensitive products for the screen printing industry","45","45","Amalgamated, Production and Service Employees Union, Local 22 (Affiliated with International Union of Allied, Novelty and Production Workers, AFL-CIO)","3/13/2019","To be determined","Consolidation of Operations","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6727","110 3rd Ave, Brooklyn, NY 11217, USA",40.6831433,-73.9827571
"Art Food, LLC dba The Cafes at MoMa, an affiliate of Union Square Hospitality Group, LLC (at the Museum of Modern Art) (Terrace 5)","11 West 53rd Street, New York, NY 10019","Restaurants","121 (affected for all three restaurants)","-----","The employees are not represented by a union.","3/14/2019","6/15/2019","Renovations","Temporary Plant Unit Closing","https://labor.ny.gov/app/warn/details.asp?id=6735","11 W 53rd St, New York, NY 10019, USA",40.7613258,-73.9774014
"Instacart (at Whole Foods Market)","240 Bedford  Avenue, Brooklyn, NY 11249","Food Services/Delivery","43","43","The employees are not represented by a union.","3/13/2019","5/11/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6736","240 Bedford Ave, Brooklyn, NY 11249, USA",40.7161995,-73.9599394
"Shop Vac Corporation d/b/a Felchar Manufacturing Corporation","(Building One), 191 Corporate Drive","Manufacturing facility, manufacturing wet/dry vacuums","144","Currently there is 394 employees with an estimated number after the layoff of approximately 250 employees.","The employees are not represented by a union.","3/29/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6737","191 Corporate Dr, Binghamton, NY 13904, USA",42.1059,-75.8153729
"Art Food, LLC dba The Cafes  at MoMa, an affiliate of Union Square Hospitality Group, LLC (at the Museum of  Modern Art) (Terrace 5)","11 West 53rd Street, New York, NY 10019","Restaurants","114 (affected  for all three restaurants)","-----","The employees are not represented by a union.","3/14/2019","6/15/2019","Renovations","Temporary  Plant Unit Closing","https://labor.ny.gov/app/warn/details.asp?id=6734","11 W 53rd St, New York, NY 10019, USA",40.7613258,-73.9774014
"Banfi Products Corporation","1111 Cedar Swamp Road, Glen Head, NY 11545","Wine and Distilled Alcoholic Beverage Merchant Wholesalers and Advertising Agency","11","97","Wine, Liquor & Distillery Workers Union – Local 1- D","3/14/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6732","1111 Cedar Swamp Rd, Glen Head, NY 11545, USA",40.8273175,-73.5952346
"Instacart (at Whole Foods Market)","240 Bedford  Avenue, Brooklyn, NY 11249","Food Services/Delivery","44","44","The employees are not represented by a union.","3/13/2019","5/11/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6733","240 Bedford Ave, Brooklyn, NY 11249, USA",40.7161995,-73.9599394
"Celmatix Inc. (Operations Office)","14 Wall Street, New York, NY 10005","Biotechnology company","42","42","The employees are not represented by a union.","12/17/2018","5/1/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6730","14 Wall St, New York, NY 10005, USA",40.7076193,-74.0105948
"Concentrix CVG Corporation","(Formerly Convergys Corporation), 146 Arsenal Street","Inbound Call Center; Customer Service, Technical Support","81","540","The employees are not represented by a union.","1/29/2019","5/31/2019","Loss of Contract","Plant Unit Closing","https://labor.ny.gov/app/warn/details.asp?id=6728","146 Arsenal St # 1, Watertown, NY 13601, USA",43.9761788,-75.9134788
"Centerplate","(at the Jacob K. Javits Convention Center), 655 W 34th St.","Food Services","273","273","UNITEHERE Local 100","3/13/2019","6/15/2019","Contract loss","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6729","429 11th Ave, New York, NY 10001, USA",40.757797,-74.0023264
"Kiss Products, Inc.","(Production Team), 3 Seaview Blvd","Fingernails, Artificial business","55","419","The employees are not represented by a union.","2/21/2019","May 22, 2019","Moving warehouse functions to New Jersey","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6724","3 Seaview Blvd, Port Washington, NY 11050, USA",40.8154649,-73.6575514
"Macy's Systems and Technology, Inc.","(Field Services Operational Unit), 1701 Sunrise Hwy.","Engages in creating, gathering, and directing pieces of data to form management tools","1","57 (total affected employees at all sites)","The employees are not represented by a union.","3/8/2019","June 9, 2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6725","1701 Sunrise Hwy, Bay Shore, NY 11706, USA",40.7396345,-73.24668
"Goldman, Sachs & Co. LLC","200 West Street, New York, NY 10282","Global investment banking","65","9,323","The employees are not represented by a union.","2/27/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6726","200 West Street, New York, NY 10282, USA",40.7148544,-74.0144968
"Ivy Enterprises, Inc.","(Production Team), 3 Seaview Blvd","Fingernails, Artificial business","4 (1 affected worker notice has been rescinded)","161","The employees are not represented by a union.","2/21/2019","May 22, 2019","Moving warehouse functions to New Jersey","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6723","3 Seaview Blvd, Port Washington, NY 11050, USA",40.8154649,-73.6575514
"Calvin Klein, Inc. (Corporate Office)","205 West 39th Street, New York, NY 10018","Clothing Retail store","38","38","The employees are not represented by a union.","3/6/2019","March 6, 2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6721","205 W 39th St, New York, NY 10018, USA",40.7546399,-73.9889772
"SC & BP Services, Inc.","(Texcare site), 1064 62nd Street","Self-service laundries","55","55","UFCW Local 312","3/4/2019","June 2, 2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6722","1250 Broadway, New York, NY 10001, USA",40.7476873,-73.9878772
"Kuni's Corporation d/b/a Ikinari Steak","96 8th Avenue, New York, NY 10011","Restaurant","5","5","The employees are not represented by a union.","2/28/2019","5/31/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6719","96 8th Ave, New York, NY 10011, USA",40.7401615,-74.0019196
"General Dynamics Information Technology","9th Street Middle, Building 990, Fort Drum, NY 13602","","","","The employees are not represented by a union.","3/4/2019","","","Possible Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6720","9th St E, Fort Drum, NY 13602, USA",44.0398402,-75.7356126
"Aramark Educational Services, LLC","(at Clarkson University), 10 Clarkson Avenue","Provides food service, facilities and uniform services to hospitals, universities, school districts, stadiums and other businesses","193","193","SEIU Local 200 United","3/4/2019","6/3/2019","Loss of Contract with Clarkson University","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6716","8 Clarkson Ave, Potsdam, NY 13699, USA",44.6636819,-74.9977112
"New Era Cap Co., Inc.","8061 Erie Road, Derby, NY 14047","Manufactures headwear, apparel, and accessories for men, women, youth, and kids","216","216","Local 14177, Communications Workers of America","12/5/2018","6/7/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6717","8061 Erie Rd, Derby, NY 14047, USA",42.665709,-79.028279
"Maryhaven Center of Hope, Inc. (Vocational Rehabilitation and Day Habilitation Transportation Services Dept.)","51 Terryville Road, Port Jefferson Station, NY 11776","Vocational Rehabilitation and Day Habilitation Transportation Services Dept.","75","75","The employees are not represented by a union.","2/27/2019","June 1, 2019","Acquisition by Suffolk Transportation","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6712","51 Terryville Rd, Port Jefferson Station, NY 11776, USA",40.926926,-73.051579
"Empire State Mines","408 Sylvia Lake Rd, Gouverneur, NY 13642","Underground zinc mine","87","87","The employees are not represented by a union.","2/26/2019","-----","Restructuring of Operations","Possible Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6713","408 Sylvia Lake Rd, Gouverneur, NY 13642, USA",44.264947,-75.408727
"Empire Vision Center, Inc.","(Visionworks - Central Lab), 6940 Fly Road","Ophthalmic Goods Manufacturing","89","89","Local Union No. 81408 of the IUE/CWA International Union","2/28/2019","June 7, 2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6714","6940 Fly Rd, East Syracuse, NY 13057, USA",43.1075725,-76.059939
"MetLife (Global Technology & Operations Department)","500 Jordan Road, Troy, NY 12180","Insurance company","26","275","The employees are not represented by a union.","2/28/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6715","500 Jordan Rd, Troy, NY 12180, USA",42.6843516,-73.6964787
"Kiss Products, Inc.","(Production Team), 3 Seaview Blvd","Fingernails, Artificial business","52","419","The employees are not represented by a union.","2/21/2019","May 22, 2019","Moving warehouse functions to New Jersey","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6709","3 Seaview Blvd, Port Washington, NY 11050, USA",40.8154649,-73.6575514
"Ivy Enterprises, Inc.","(Production Team), 3 Seaview Blvd","Fingernails, Artificial business","4","161","The employees are not represented by a union.","2/21/2019","May 22, 2019","Moving warehouse functions to New Jersey","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6710","3 Seaview Blvd, Port Washington, NY 11050, USA",40.8154649,-73.6575514
"CareConnect Insurance Company, Inc.","2200 Northern Boulevard, Suite 104, East Hills, NY 11548","Insurance company","31","35","The employees are not represented by a union.","2/27/2019","To be determined","Implementation of the Care Connect Exit Plan","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6711","2200 Northern Blvd Suite 104, Greenvale, NY 11548, USA",40.8060868,-73.6350077
"Gourmet Management Corp. (TGI Fridays, KFC, Taco Bell, Pizza Hut, Haagen Dazs, Tim Hortons & Beer Cart Restaurants located at the Restaurant Complex on the Amtrak level of Penn Station)","560 Fifth Avenue, 3rd Floor, New York, NY 10036","Restaurants","86","86","The employees are not represented by a union.","7/13/2018","To Be Determined","Expiration of lease","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6707","560 5th Ave 3rd Floor, New York, NY 10036, USA",40.7560789,-73.9794056
"New England Motor Freight (NEMF)","7201 Schuyler Rd., East Syracuse, NY 13057","General Freight Trucking, Local","63","518 (total for all sites)","Local 447 of District 15 of the International Association of Machinists and Aerospace Workers, AFL-CIO","2/14/2019","2/15/2019","Filed for Chapter 11 Bankruptcy","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6708","7201 Schuyler Rd, East Syracuse, NY 13057, USA",43.12137,-76.075144
"Alleson of Rochester, Inc.","2340 Brighton Henrietta Town Line Road, Rochester, NY 14623","Manufactures in-stock uniforms and sublimated garments.","75","116 ( total at both locations)","Rochester Regional Joint Board, Local 388, Workers United","2/18/2019","June 7, 2019","Implementing an operational restructuring","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6705","2340 Brighton Henrietta Town Line Rd, Rochester, NY 14623, USA",43.0959034,-77.614769
"Prestone Press, LLC","4750 30th Street, Long Island City, NY 11101","Commercial printer","75","75","The employees are not represented by a union.","2/7/2019","June 2, 2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6706","47-50 30th St, Long Island City, NY 11101, USA",40.7415868,-73.938462
"Ivy Enterprises, Inc.","(Warehouse), 3 Seaview Blvd","Fingernails, Artificial Business","24","161","The employees are not represented by a union.","10/9/2018","3/22/2019","Moving warehouse functions to New Jersey","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6704","3 Seaview Blvd, Port Washington, NY 11050, USA",40.8154649,-73.6575514
"Prestone Press, LLC","4750 30th Street, Long Island City, NY 11101","Commercial printer","75","75","The employees are not represented by a union.","2/7/2019","May 23, 2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6700","47-50 30th St, Long Island City, NY 11101, USA",40.7415868,-73.938462
"AllianceBernstein L.P.","1345 Sixth Avenue, New York, NY 10105","Providing investment management and research services","98","1,517","The employees are not represented by a union.","2/14/2019","-----","Relocation of Corporate Headquarters to Nashville, Tennessee","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6701","1345 6th Ave, New York, NY 10105, USA",40.7629384,-73.978958
"Macy's Systems and Technology, Inc. (MTECH Field Services Operational Unit)","Roosevelt Field, 630 Old Country Road","Engages in creating, gathering, and directing pieces of data to form management tools","1","1","The employees are not represented by a union.","2/15/2019","6/1/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6702","630 Old Country Rd, Garden City, NY 11530, USA",40.7379804,-73.6129024
"The Robert Allen Duralee Group, Inc.","125 Michael Drive, Suite 101, Syosset, NY 11749","Luxury home décor","5","119 (total at all sites)","The employees are not represented by a union.","2/15/2019","-----","Chapter 11 filing and sale of business","Possible Plant Layoff/Closing","https://labor.ny.gov/app/warn/details.asp?id=6703","125 Michael Dr Suite 105, Syosset, NY 11791, USA",40.8053023,-73.5199321
"Thesys CAT, LLC","1740 Broadway, 14th Floor, New York, NY 10019","Computer Programming Services","35","35","The employees are not represented by a union.","2/19/2019","4/15/2019","Termination of CAT Project contract","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6698","1740 Broadway 14th Floor, New York, NY 10019, USA",40.7650295,-73.9817281
"Eastman Kodak Company (Kodak Office)","343 State Street, Rochester, NY 14650","Photographic equipment and Supplies","1 (remote employee)","-----","The employee is not represented by a union.","2/13/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6699","Kodak Tower, 343 State St, Rochester, NY 14650, USA",43.1608082,-77.6196475
"Doubletree Suites by Hilton Hotel New York City Times Square","1568 Broadway, New York, NY 10036","","","","New York Hotel  & Motel Trades Council, AFL-CIO","2/13/2019","","","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6696","1568 Broadway, New York, NY 10036, USA",40.7589085,-73.9844183
"Buffalo Filter, LLC","5900 Genesee Street, Lancaster, NY 14086","Medical equipment manufacturer","15","114","The employees are not represented by a union.","2/12/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6693","5900 Genesee St, Lancaster, NY 14086, USA",42.9464039,-78.6336676
"Fluor Enterprises, Inc.","568 Shore Airport Road, Ticonderoga, NY 12883","Construction project management","2","2","The employees are not represented by a union.","2/12/2019","2/28/2019","Contract loss with International Paper","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6694","568 Shore-Airport Rd, Ticonderoga, NY 12883, USA",43.8921649,-73.4024065
"Fluor Industrial Services, Inc.","568 Shore Airport Road, Ticonderoga, NY 12883","Construction project management","20","20","The employees are not represented by a union.","2/12/2019","2/28/2019","Contract loss with International Paper","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6695","568 Shore-Airport Rd, Ticonderoga, NY 12883, USA",43.8921649,-73.4024065
"Walmart","Facility #3577 (Processes online orders), 141 Washington Avenue Ext.","","","","The employees are not represented by a union.","2/12/2019","","","","https://labor.ny.gov/app/warn/details.asp?id=6692","141 Washington Ave Ext, Albany, NY 12205, USA",42.6953088,-73.8461142
"Eastman Kodak Company (Kodak Office)","343 State Street, Rochester, NY 14650","Photographic equipment and Supplies","1","-----","The employee is not represented by a union.","1/31/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6691","Kodak Tower, 343 State St, Rochester, NY 14650, USA",43.1608082,-77.6196475
"Ivy Enterprises, Inc.","(Warehouse), 3 Seaview Blvd","Fingernails, Artificial Business","24","132","The employees are not represented by a union.","10/9/2018","5/10/2019","Moving warehouse functions to New Jersey","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6690","3 Seaview Blvd, Port Washington, NY 11050, USA",40.8154649,-73.6575514
"Web.com Group, Inc.","330 W. 34th Street, 16th Floor, New York, NY 10001","Provides a range of Internet services to small businesses","39","To be determined","The employees are not represented by a union.","2/1/2019","-----","Ecomonic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6688","330 W 34th St 16th floor, New York, NY 10001, USA",40.7526143,-73.9953955
"Eclipse Advantage, LLC","105 Rotterdam Industrial Park, Schenectady, NY 12306","Unloading services with Union Pacific/Cold Connect.","62","62","The employees are not represented by a union.","2/6/2019","May 6, 2019","Service contract cancelation with Union Pacific Cold Connect/Railex","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6689","105 Rotterdam Industrial Park, Rotterdam, NY 12306, USA",42.7871175,-73.9913314
"Concentrix CVG Corporation (formerly Convergys Corporation)","146 Arsenal Street, Watertown, NY 13601","Inbound Call Center","117","540","The employees are not represented by a union.","2/5/2019","June 30, 2019","Loss of Contract","Plant Unit Closing","https://labor.ny.gov/app/warn/details.asp?id=6687","146 Arsenal St, Watertown, NY 13601, USA",43.9760116,-75.9130623
"St. Joseph School","25 Church Street, Ronkonkoma, NY 11779","School","38","38","The employees are not represented by a union.","1/31/2019","6/26/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6686","25 Church St, Ronkonkoma, NY 11779, USA",40.8175112,-73.1172112
"AllianceBernstein L.P.","1345 Sixth Avenue, New York, NY 10105","Providing investment management and research services","36","1 North Lexington Ave., White Plains, NY 10601 (18 affected employees, 228 Total Employees)","The employees are not represented by a union.","2/1/2019","-----","Relocation of Corporate Headquarters to Nashville, Tennessee","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6681","1345 6th Ave, New York, NY 10105, USA",40.7629384,-73.978958
"All Saints Regional Catholic School","12 Pearsall Avenue, Glen Cove, NY 11542","","","","The employees are not represented by a union.","1/31/2019","","","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6684","12 Pearsall Ave, Glen Cove, NY 11542, USA",40.8612898,-73.621495
"Eastman Kodak Company (Eastman Business Park)","1669 Lake Avenue, Rochester, NY 14650","Photographic equipment and Supplies","2","-----","The employees are not represented by a union.","1/31/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6679","1669 Lake Ave, Rochester, NY 14615, USA",43.1968638,-77.6303804
"ABM Aviation Inc.","Delta Airlines at JFK International Airport. Terminals 2 and 4, Jamaica, NY 11430","Cabin cleaning services at Delta Airlines at JFK International Airport. Terminals 2 and 4","528","528","SEIU Local 32BJ","1/28/2019","5/3/2019","Contractual Loss","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6678","Terminal 4 Concourse B near, Gate B31, Jamaica, NY 11430, USA",40.639271,-73.781489
"Concentrix CVG Corporation","(Formerly Convergys Corporation), 146 Arsenal Street","","","","The employees are not represented by a union.","1/29/2019","","","Plant Unit Closing","https://labor.ny.gov/app/warn/details.asp?id=6677","146 Arsenal St # 1, Watertown, NY 13601, USA",43.9761788,-75.9134788
"Petland Discounts Inc.","","Retail pet store","367","367 (Total at all locations)","The employees are not represented by a union.","1/18/2019","4/18/2019","Economic","Plant Closings","https://labor.ny.gov/app/warn/details.asp?id=6676","125 SE 3rd Ave, Hillsboro, OR 97123, USA",45.522208,-122.9863281
"Metropolitan Jewish Home Care, Inc. d\b\a MJHS Home Care","6323 Seventh Avenue, Brooklyn, NY 11220","Home care services","112","246","The employees are not represented by a union.","1/15/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6671","6323 7th Ave, Brooklyn, NY 11220, USA",40.6346085,-74.013359
"Centerplate at the New York Racing Association (NYRA)","Saratoga Racetracks, 267 Union Avenue","Hospitality services","441","441","New York Hotel & Motel Trades Council, AFL-CIO","1/17/2019","April 21, 2019","Contract Loss","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6672","267 Union Ave, Saratoga Springs, NY 12866, USA",43.0739705,-73.7679799
"SAE Sun and Earth Energy Inc.","444 Washington Street, Rensselaer, NY 12144","","","","The employees are not represented by a union.","1/25/2019","","","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6673","444 Washington St, Rensselaer, NY 12144, USA",42.6416669,-73.7431956
"Monolith Solar Associates, LLC","444 Washington Street, Rensselaer, NY 12144","","","","The employees are not represented by a union.","","","","","https://labor.ny.gov/app/warn/details.asp?id=6674","444 Washington St, Rensselaer, NY 12144, USA",42.6416669,-73.7431956
"Monticello Raceway Management, Inc. (Casino)","204 State Route 17B, Monticello, NY 12701","","","","New York Hotel & Motel Trades Council,  AFL-CIO - 92 employees; the Laborers' International Union of North America,  Local 17, AFL-CIO- 13 employees; the International Union of Operating  Engineers, Local 825 – 5 employees; and the Northeast Regional Council of  Carpenters, United Brotherhood of Carpenters and Joinders of America- 2  employees.","","","","","https://labor.ny.gov/app/warn/details.asp?id=6675","204 NY-17B, Monticello, NY 12701, USA",41.6687829,-74.7145027
"Celmatix Inc. (Operations Office)","14 Wall Street, New York, NY 10005","Biotechnology company","66","66","The employees are not represented by a union.","12/17/2018","2/1/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6670","14 Wall St, New York, NY 10005, USA",40.7076193,-74.0105948
"Gourmet Management Corp. (TGI Fridays, KFC, Taco Bell, Pizza Hut, Haagen Dazs, Tim Hortons & Beer Cart Restaurants located at the Restaurant Complex on the Amtrak level of Penn Station)","560 Fifth Avenue, 3rd Floor, New York, NY 10036","Restaurants","86","86","The employees are not represented by a union.","7/13/2018","2/28/2019","Expiration of lease","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6667","560 5th Ave 3rd Floor, New York, NY 10036, USA",40.7560789,-73.9794056
"Third & 50, LLC (aka Dos Caminos)","825 Third Avenue, New York, NY 10022","Restaurant","100","100","The employees are not represented by a union.","1/18/2019","April 30, 2019","Lease expiration","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6668","825 3rd Ave, New York, NY 10022, USA",40.7558722,-73.9701462
"Mercedes Distribution Center, Inc.","63 Flushing Avenue, Unit 340, Brooklyn, NY 11205","Warehouse Distribution service","100","100","International Brotherhood of Teamsters, Local 553","1/18/2019","February 01, 2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6669","63 Flushing Ave #340, Brooklyn, NY 11205, USA",40.6984715,-73.9777647
"Macy's","7000 Fashion Drive, Nanuet, NY 10954","Retail Store","92","92","The employees are not represented by a union.","1/18/2019","April 2, 2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6665","7000 Fashion Dr, Nanuet, NY 10954, USA",41.0954415,-74.0152643
"TheaterMania.com","550 7th Ave, New York, NY 10018","Offers directory of shows, tickets, and discounts across the U.S.","17","81","The employees are not represented by a union.","1/16/2019","April 16, 2019","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6666","550 7th Ave, New York, NY 10018, USA",40.7544525,-73.9884721
"Senior Rehab Solutions (Norwegian Home and Health Center)","1250 67th Street, Brooklyn, NY 11219","Nursing home","22","22","The employees are not represented by a union.","1/7/2018","2/4/2019","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6663","1250 67th St, Brooklyn, NY 11219, USA",40.6249141,-74.0041677
"CareConnect Insurance Company, Inc.","2200 Northern Boulevard, East Hills, NY 11548","Health insurance market","46","40","The employees are not represented by a union.","1/16/2019","To be determined","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6664","2200 Northern Blvd, Greenvale, NY 11548, USA",40.8060868,-73.6350077
"Kohl's Department Stores, Inc. (Store #1328)","6135 Junction Blvd., Rego Park, NY 11374","Retail store","107","107","The employees are not represented by a union.","1/10/2019","4/13/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6660","6135 Junction Blvd, Rego Park, NY 11374, USA",40.7336429,-73.864081
